,_id,buying_type,created_time,campaign_id,lifetime_budget,name_x,start_time,status,stop_time,adset_id,adset_name,adaccount_id,date_start,date_stop,campaign_name,impressions,clicks,spend,leads,link_click,unique_clicks,unique_link_click,post_engagement,page_engagement,post_reaction,lead,actual_cpl,cpl_30,ctl,cpm,cpc,ctr,click_to_form,form_to_lead,property_id,type,size,location,starting_price,cpl,url,tier,is_flat,int_price
0,66d874f308b05b0db2e84843,AUCTION,2024-08-31T12:22:31+0530,120211992769850764,1483020,ATS_Homekraft_Gurugram_Gurugram_Landbase_31/08/24_campaign,2024-08-31T18:22:30+0530,PAUSED,2024-09-30T18:22:30+0530,"['120211992770610764', '120212000253220764']","['ATS_Homekraft_Gurugram_Landbase_Res_V_LC_investor_focused_adset', 'ATS_Homekraft_Gurugram_Landbase_Res_V_LC_LAL_3cr_adset']",7169553933166414,2024-08-31,2024-09-04,ATS_Homekraft_Gurugram_Gurugram_Landbase_31/08/24_campaign,4055.0,61.0,1586.74,0.0,20.0,54.0,0.0,448.0,448.0,5.0,,,,,391.3045622688039,26.012131147540984,0.015043156596794081,0.32786885245901637,,66d2bb88afbfa8e18feb1080,Residential,3BHK Onwards,"Sector-105, Dwarka Expressway",2 Cr. Onwards,805,https://ats-homekraft.in/?gad_source=1&gclid=Cj0KCQjw28W2BhC7ARIsAPerrcKlqZ1GXyzo4VrIs1bmsArRKBISd3lpY1LrYDPhUYfLss_lLmwo4EIaAiIkEALw_wcB,Res_V_LC,Flat,20000000.0
1,66d874f308b05b0db2e84844,AUCTION,2024-08-31T12:12:18+0530,120211992715800764,1483090,Samyak_Boulevard_83_Gurugram_Gurugram_Landbase_31/08/24_campaign,2024-08-31T18:12:18+0530,ACTIVE,2024-09-30T18:12:18+0530,['120211992716410764'],['Samyak_Boulevard_83_Gurugram_Landbase_Com_A_LC_investor_focused_adset'],7169553933166414,2024-08-31,2024-09-04,Samyak_Boulevard_83_Gurugram_Gurugram_Landbase_31/08/24_campaign,6097.0,115.0,2188.58,0.0,45.0,87.0,0.0,799.0,799.0,9.0,8.0,273.5725,390.8178571428572,14.375,358.96014433327866,19.031130434782607,0.018861735279645728,0.391304347826087,0.17777777777777778,66d2b99cafbfa8e18feb1014,Commercial,250 sq. ft. Onwards,"Sector 83, New Gurgaon",50 Lacs Onwards,100,https://laveekestates.com/samyak-boulevard-83-gurgaon/,Com_A_LC,Shop/Showroom,5000000.0
2,66d874f308b05b0db2e84845,AUCTION,2024-08-28T16:38:27+0530,120211915589710764,1120000,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_SE Asia_campaign,2024-08-28T16:38:27+0530,PAUSED,2024-09-11T20:00:48+0530,"['120211915589700764', '120211917231740764', '120211917257550764']","['Smartworld_One_DXP_Sarabjit_Res_L_LC_investor_focused_adset_SE Asia', 'Smartworld_One_DXP_Sarabjit_Res_L_LC_LAL_3cr_SE Asia_adset', 'Smartworld_One_DXP_Sarabjit_Res_L_LC_LAL_5cr_SE Asia_adset']",7169553933166414,2024-08-28,2024-09-04,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_SE Asia_campaign,1795.0,43.0,756.22,0.0,30.0,41.0,0.0,319.0,319.0,6.0,1.0,756.22,1080.314285714286,43.0,421.2924791086351,17.586511627906976,0.02395543175487465,0.6976744186046512,0.03333333333333333,66cd8b460a7f00f8d2032e93,Residential,3.5BHK Onwards,Dwarka Expressway,4..2 cr onwards,1815,https://smartworlddevelopers.com/project/onedxp/,Res_L_LC,Flat,40000000.0
3,66d874f308b05b0db2e84846,AUCTION,2024-08-27T14:00:49+0530,120211887712890764,1120000,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_campaign_USA,2024-08-27T20:00:48+0530,PAUSED,2024-09-11T20:00:48+0530,['120211887716450764'],['Smartworld_One_DXP_Sarabjit_Res_L_LC_investor_focused_adset_USA'],7169553933166414,2024-08-27,2024-09-04,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_campaign_USA,720.0,16.0,2738.36,0.0,11.0,16.0,0.0,62.0,62.0,2.0,,,,,3803.277777777778,171.1475,0.022222222222222223,0.6875,,66cd8b460a7f00f8d2032e93,Residential,3.5BHK Onwards,Dwarka Expressway,4..2 cr onwards,1815,https://smartworlddevelopers.com/project/onedxp/,Res_L_LC,Flat,40000000.0
4,66d874f308b05b0db2e84847,AUCTION,2024-08-24T17:03:53+0530,120211836689260764,700000,MVN_Mall_Gurugram_Sanjoli_Yadav__24/08/24_campaign,2024-08-24T17:25:21+0530,PAUSED,2024-09-08T21:29:52+0530,['120211836698690764'],['MVN_Mall_Sanjoli_Yadav__Com_A_LC_investor_focused_adset'],7169553933166414,2024-08-24,2024-09-04,MVN_Mall_Gurugram_Sanjoli_Yadav__24/08/24_campaign,5402.0,75.0,3575.05,0.0,32.0,56.0,0.0,34.0,34.0,1.0,3.0,1191.6833333333334,1702.4047619047622,25.0,661.8011847463903,47.66733333333334,0.013883746760459089,0.4266666666666667,0.09375,66c9aea9fd7e15c6af68e283,Commercial,150 sqft ,"Dwarka Expressway, Sector-37D, Gurugram",54 lacs,161.2,https://mvn.co.in/?utm_source=gads&utm_medium=cpc&utm_campaign=21584157071&utm_term=mvn&gad_source=1&gclid=CjwKCAjwoJa2BhBPEiwA0l0ImMD7OmvKnzEb_2Y_fhVzDrpCQYXxsqgUx9hdw1p8ERVFqWvevhfYyRoChTsQAvD_BwE,Com_A_LC,Shop/Showroom,5400000.0
5,66d874f308b05b0db2e84848,AUCTION,2024-08-21T19:38:48+0530,120211763205370764,350000,The_Lotus_India_Kolhapur_Sanjoli_Yadav_21/08/24_campaign,2024-08-21T19:40:00+0530,PAUSED,2024-09-05T19:30:00+0530,['120211763205390764'],['The_Lotus_India__Kolhapur_Sanjoli_Yadav_21/08/24_adset'],7169553933166414,2024-08-21,2024-09-04,The_Lotus_India_Kolhapur_Sanjoli_Yadav_21/08/24_campaign,383.0,17.0,192.24,0.0,3.0,12.0,0.0,23.0,23.0,1.0,,,,,501.93211488250654,11.308235294117647,0.044386422976501305,0.17647058823529413,,66bc52f3b2f92498ea4e8f7f,Residential,1100 meters ,Doda marg Maharashtra ,66 lacs,172,,Plot_V_SC,Plot,6600000.0
6,66d874f308b05b0db2e84849,AUCTION,2024-08-17T17:10:13+0530,120211668082000764,3500000,HOABL_One_Goa__Sarabjit_17/08/24_campaign,2024-08-17T19:00:00+0530,ACTIVE,2024-09-16T23:04:09+0530,"['120211668083090764', '120211912290150764', '120211912855710764']","['HOABL_One_Goa_Sarabjit_Plot_V_SC_investor_focused_adset', 'HOABL_One_Goa_Sarabjit_Plot_V_SC_LAL_3cr_ad_set', 'HOABL_One_Goa_Sarabjit_Plot_V_SC_LAL_5cr_ad_set']",7169553933166414,2024-08-17,2024-09-04,HOABL_One_Goa__Sarabjit_17/08/24_campaign,20369.0,200.0,5697.18,0.0,89.0,166.0,0.0,297.0,298.0,9.0,10.0,569.7180000000001,813.8828571428572,20.0,279.6985615395945,28.4859,0.009818842358485935,0.445,0.11235955056179775,66c085d3b2f92498ea4ef9e1,Residential,1539 sq. ft. Onwards,"Bicholim, Goa",75.99 Lacs Onwards,216.955,https://one-goa-bicholim.com/hoabl/?pp_pg=google&pp_mobile=1&pp_chatbox=1&utm_source=website&utm_medium=ppmcc&utm_campaign=google-search&Keyword=lodha%20goa%20plots&Device=c&ads_id=TBD&ads_group_id=168561780640&ads_extension_id=&ads_set_name=HOABL-ONE-GOA-Bicholim-Goa-New-s-l-2-76-p&campaign_id=21600771349&campaign_name=HOABL-ONE-GOA-Bicholim-Goa-New-s-l-2&keyword_type=p&physical_location=1007765&ad_strategy=s-l-2&gad_source=1&gclid=Cj0KCQjwlIG2BhC4ARIsADBgpVRLZsWTlGspWdCmd1JNaAAyXFHkTOoEi9M42UCG67zse9_SXDHn_nUaAjKGEALw_wcB,Plot_V_SC,Plot,7599000.0
7,66d874f308b05b0db2e8484a,AUCTION,2024-08-14T12:21:47+0530,120211585949220764,350000,The_Lotus_India__Kolhapur_Sanjoli_Yadav__14/08/24_campaign,2024-08-14T15:55:00+0530,PAUSED,2024-08-29T18:21:46+0530,['120211585954520764'],['The_Lotus_India__Sanjoli_Yadav__Plot_V_SC_investor_focused_adset'],7169553933166414,2024-08-14,2024-09-04,The_Lotus_India__Kolhapur_Sanjoli_Yadav__14/08/24_campaign,553.0,7.0,597.67,0.0,5.0,7.0,0.0,10.0,10.0,2.0,,,,,1080.7775768535262,85.38142857142857,0.012658227848101266,0.7142857142857143,,66bc52f3b2f92498ea4e8f7f,Residential,1100 meters ,Doda marg Maharashtra ,66 lacs,172,,Plot_V_SC,Plot,6600000.0
8,66d874f308b05b0db2e8484b,AUCTION,2024-08-12T19:37:04+0530,120211545497890764,700000,CA_SmartWorld_69_Gurugram_Sanjoli_Yadav__12/08/24_campaign,2024-08-12T19:37:04+0530,PAUSED,2024-08-26T19:30:00+0530,['120211545498030764'],['CA_SmartWorld_69_Gurugram_Sanjoli_Yadav__12/08/24_ad set'],7169553933166414,2024-08-12,2024-09-04,CA_SmartWorld_69_Gurugram_Sanjoli_Yadav__12/08/24_campaign,1180.0,11.0,2120.6,0.0,5.0,11.0,0.0,80.0,80.0,,,,,,1797.1186440677966,192.78181818181818,0.009322033898305085,0.45454545454545453,,66b8930887607f047d65f188,Residential,3.5BHK Onwards,"Sector 69, Gurgaon",3.75 Cr. Onwards,1692.5,https://smartworld69.com/?gad_source=1&gclid=CjwKCAjw_Na1BhAlEiwAM-dm7JRbVVwZt6sTi1qwMIE1A6C6ok4XtebfThlOT9m1JSHNBj0zh6lNPxoC8cQQAvD_BwE,Res_L_LC,Flat,37500000.0
9,66d874f308b05b0db2e8484c,AUCTION,2024-08-11T16:04:08+0530,120211524349950764,700000,LAL_SmartWorld_69_Gurugram_Sanjoli_Yadav__11/08/24_campaign,2024-08-11T17:27:01+0530,ACTIVE,2024-08-25T17:00:00+0530,['120211524620400764'],['SmartWorld_69_Gurugram_Sanjoli_Yadav__11/08/24_ad_set'],7169553933166414,2024-08-11,2024-09-04,LAL_SmartWorld_69_Gurugram_Sanjoli_Yadav__11/08/24_campaign,13620.0,181.0,6999.26,0.0,73.0,143.0,0.0,892.0,892.0,28.0,18.0,388.84777777777776,555.4968253968254,10.055555555555555,513.8957415565345,38.669944751381216,0.01328928046989721,0.40331491712707185,0.2465753424657534,66b8930887607f047d65f188,Residential,3.5BHK Onwards,"Sector 69, Gurgaon",3.75 Cr. Onwards,1692.5,https://smartworld69.com/?gad_source=1&gclid=CjwKCAjw_Na1BhAlEiwAM-dm7JRbVVwZt6sTi1qwMIE1A6C6ok4XtebfThlOT9m1JSHNBj0zh6lNPxoC8cQQAvD_BwE,Res_L_LC,Flat,37500000.0
10,66d874f308b05b0db2e8484d,AUCTION,2024-08-01T14:32:28+0530,120211318900910764,511423,Parth_Kiona_Pune_LeapX_Campaigns_01/08/24_campaign,2024-08-01T21:35:58+0530,PAUSED,2024-08-15T20:41:32+0530,"['120211327553380764', '120211328178880764', '120211412404660764']","['Parth_Kiona_LeapX_Campaigns_Res_A_LC_investor_focused_adset', 'Parth_Kiona_LeapX_Campaigns_Res_A_LC_investor_focused_adset – video', 'Parth_Kiona_LeapX_Campaigns_Res_A_LC_investor_focused_adset_Img+Vid']",7169553933166414,2024-08-01,2024-09-04,Parth_Kiona_Pune_LeapX_Campaigns_01/08/24_campaign,1305.0,13.0,868.71,0.0,8.0,13.0,0.0,80.0,80.0,4.0,,,,,665.6781609195402,66.82384615384616,0.00996168582375479,0.6153846153846154,,66a88c17bd2b190071b67dc6,Residential,2BHK Onwards,"Hinjawadi-Maan Road, Near Rajiv Gandhi Infotech Circle, Ph-1, Hinjawadi",84 Lak. Onwards,259.79999999999995,https://www.india-sales-office.com/Projects/Parth-Developer/Parth-Kiona-Pune/?keyword=parth%20kiona&matchtype=p&adposition=&device=c&gad_source=1&gclid=Cj0KCQjw-5y1BhC-ARIsAAM_oKneMQX-EgMw3lcylzFQ_qJG8oQjAuIITJxJdSG4yk1YGwZ8eL-S7PYaAvI6EALw_wcB,Res_A_LC,Flat,8400000.0
11,66d874f308b05b0db2e8484e,AUCTION,2024-07-29T17:45:00+0530,120211258253310764,1050000,Signature_Global_Gurugram_Mayank_Parnami_29/07/24_campaign,2024-07-29T23:43:01+0530,PAUSED,2024-08-13T23:43:01+0530,"['120211258256660764', '120211284345970764']","['Signature_Global_Mayank_Parnami_Res_V_LC_investor_focused_adset', 'Signature_Global_Mayank_Parnami_Res_V_LC_investor_focused_adset – 2']",7169553933166414,2024-07-29,2024-09-04,Signature_Global_Gurugram_Mayank_Parnami_29/07/24_campaign,3228.0,21.0,620.76,0.0,11.0,19.0,0.0,20.0,20.0,9.0,1.0,620.76,886.8000000000001,21.0,192.30483271375465,29.56,0.006505576208178439,0.5238095238095238,0.09090909090909091,66a786e908c2ad235c0b5704,Residential,3BHK+UTILITY,"Sector 36A, Sohna Road, Gurgaon",1.50 Cr. Onwards,570,https://proptigergurgaon.com/signature-global/signature-global-sohna-road/?gad_source=1&gclid=Cj0KCQjw-5y1BhC-ARIsAAM_oKmmc0Jbs4Gfxc1sYQm1r8f1HjTfHJP9FC2piLA4M6Ve9GMggIJZJa4aAgk1EALw_wcB,Res_V_LC,House/ Villa,15000000.0
12,66d874f308b05b0db2e8484f,AUCTION,2024-07-21T20:30:11+0530,120211112693250764,700000,Satya_The_Hive_Gurugram_Himmat_singh__21/07/24_campaign,2024-07-22T02:30:10+0530,ACTIVE,2024-07-28T20:30:00+0530,['120211112693910764'],['Satya_The_Hive_Himmat_singh__Com_A_LC_investor_focused_adset'],7169553933166414,2024-07-22,2024-08-25,Satya_The_Hive_Gurugram_Himmat_singh__21/07/24_campaign,19052.0,229.0,7000.0,0.0,121.0,187.0,0.0,3612.0,3612.0,28.0,17.0,411.7647058823529,588.2352941176471,13.470588235294118,367.41549443627963,30.56768558951965,0.012019735460844005,0.5283842794759825,0.14049586776859505,669d22319d0d3a0de2f266b0,Commercial,250 sq. ft. Onwards,"Sector 102, Gurugram",40 Lacs Onwards,100,https://satyathehivegurgaon.com/,Com_A_LC,Shop/Showroom,4000000.0
13,66d874f308b05b0db2e84850,AUCTION,2024-07-20T17:30:35+0530,120211099272390764,980000,Downtown_Dehra Dun_shivnaman_bawa_20/07/24_campaign,2024-07-20T23:28:06+0530,PAUSED,2024-08-04T23:28:06+0530,['120211099347140764'],['Downtown_LeapX_Campaigns_Plot_V_SC_investor_focused_adset'],7169553933166414,2024-07-20,2024-09-01,Downtown_Dehra Dun_shivnaman_bawa_20/07/24_campaign,28285.0,354.0,9800.0,0.0,130.0,264.0,0.0,172.0,173.0,36.0,21.0,466.6666666666667,666.6666666666666,16.857142857142858,346.47339579282306,27.683615819209038,0.01251546756231218,0.3672316384180791,0.16153846153846155,669ba5f0a0ce902b77582216,Commercial,50 sq yrds,Haridwar,40L,100,https://plotsinharidwar.com/,Plot_V_SC,Land,4000000.0
14,66d874f308b05b0db2e84851,AUCTION,2024-07-19T18:05:09+0530,120211085617680764,2719570,Signature_Global_Premium_Luxury_Floors_Gurugram_Nitin_Saini_19/07/24_campaign,2024-07-19T20:05:00+0530,ACTIVE,2024-08-08T00:05:00+0530,"['120211085623760764', '120211087285480764']","['Signature_Global_Premium_Luxury_Floors_Nitin_Saini_Res_V_LC_investor_focused_adset', 'Signature_Global_Premium_Luxury_Floors_Nitin_Saini_Res_V_LC_investor_focused_adset – New_Targeting']",7169553933166414,2024-07-19,2024-09-04,Signature_Global_Premium_Luxury_Floors_Gurugram_Nitin_Saini_19/07/24_campaign,19315.0,112.0,6798.88,0.0,45.0,104.0,0.0,58.0,58.0,10.0,3.0,2266.2933333333335,3237.561904761905,37.333333333333336,352.0,60.70428571428572,0.0057986021227025624,0.4017857142857143,0.06666666666666667,669a5c5c460c432edd30b695,Residential,1550 Sqft,"South Gurgaon, Near Sohna Toll Plaza",1.9 Cr,758,,Res_V_LC,Flat,19000000.0
15,66d874f308b05b0db2e84852,AUCTION,2024-07-19T12:56:24+0530,120211080040380764,700000,KOHINOOR_CENTRAL_PARK_Pune_Rajendra_Kokate_19/07/24_campaign,2024-07-19T18:53:14+0530,PAUSED,2024-08-03T18:53:14+0530,"['120211085748990764', '120211086544040764']","['KOHINOOR_CENTRAL_PARK_LeapX_Campaigns_Res_A_LC_investor_focused_adset', 'KOHINOOR_CENTRAL_PARK_LeapX_Campaigns_Res_A_LC_investor_focused_adset – LAL']",7169553933166414,2024-07-19,2024-08-31,KOHINOOR_CENTRAL_PARK_Pune_Rajendra_Kokate_19/07/24_campaign,82.0,0.0,99.69,0.0,0.0,0.0,0.0,103.0,103.0,24.0,1.0,99.69,142.4142857142857,0.0,1215.7317073170732,0.0,0.0,0.0,0.0,669a133e28c6be2046413b86,Residential,2BHK Onwards,"Hinjewadi Central, Pune",74 Lacs Onwards,212.8,https://centralpark-hinjewadipune.com/kohinoor/?pp_pg=google&pp_mobile=1&pp_chatbox=1&utm_source=website&utm_medium=ppmcc&utm_campaign=google-search&Keyword=kohinoor%20hinjewadi&Device=c&ads_id=TBD&ads_group_id=162564605749&ads_extension_id=&ads_set_name=Kohinoor-Central-Park-Hinjawadi-Pune-s-n1-74-e&campaign_id=21336337600&campaign_name=Kohinoor-Central-Park-Hinjawadi-Pune-s-n1&keyword_type=e&physical_location=9198075&ad_strategy=s-n1&gad_source=1&gclid=Cj0KCQjw-uK0BhC0ARIsANQtgGPe8zUFVhRgDfhvKrdfrzKfgcSOAI7TiTKmYRC0sUU33-k4RNLnfEEaAhm-EALw_wcB,Res_A_LC,Flat,7400000.0
16,66d874f308b05b0db2e84853,AUCTION,2024-07-13T08:47:06+0530,120210969825640764,,Test – Ashiana_Amarah_Gurugram_Sanjoli_Yadav__12/07/24_campaign,2024-07-13T09:14:00+0530,PAUSED,2024-07-19T00:00:00+0530,['120210969825630764'],['Ashiana_Amarah_Sanjoli_Yadav__Res_L_LC_investor_focused_adset'],7169553933166414,2024-07-13,2024-08-15,Test – Ashiana_Amarah_Gurugram_Sanjoli_Yadav__12/07/24_campaign,15132.0,116.0,6517.56,0.0,37.0,105.0,0.0,61.0,61.0,21.0,1.0,6517.56,9310.800000000001,116.0,430.7137192704203,56.18586206896552,0.007665873645255088,0.31896551724137934,0.02702702702702703,66912cceed2f7e24a246cdef,Residential,3BHK Onwards,"Sector 93, Gurgaon",2.5 Cr. Onwards,1080,https://www.amarahbyashiana.com/?gad_source=1&gclid=CjwKCAjwqMO0BhA8EiwAFTLgIJrYeYnZA9wulTWh1ga65svRDrSklXGBwyfOTdztcfrfcPZUVKP6pRoC8IcQAvD_BwE,Res_L_LC,Flat,25000000.0
17,66d874f308b05b0db2e84854,AUCTION,2024-07-12T18:48:02+0530,120210959310030764,330000,Ashiana_Amarah_Gurugram_Sanjoli_Yadav__12/07/24_campaign,2024-07-13T00:48:02+0530,PAUSED,2024-07-28T00:48:02+0530,['120210959316530764'],['Ashiana_Amarah_Sanjoli_Yadav__Res_L_LC_investor_focused_adset'],7169553933166414,2024-07-13,2024-08-25,Ashiana_Amarah_Gurugram_Sanjoli_Yadav__12/07/24_campaign,5534.0,48.0,2483.5,0.0,26.0,43.0,0.0,35.0,35.0,9.0,3.0,827.8333333333334,1182.6190476190477,16.0,448.77123238164074,51.739583333333336,0.008673653776653415,0.5416666666666666,0.11538461538461539,66912cceed2f7e24a246cdef,Residential,3BHK Onwards,"Sector 93, Gurgaon",2.5 Cr. Onwards,1080,https://www.amarahbyashiana.com/?gad_source=1&gclid=CjwKCAjwqMO0BhA8EiwAFTLgIJrYeYnZA9wulTWh1ga65svRDrSklXGBwyfOTdztcfrfcPZUVKP6pRoC8IcQAvD_BwE,Res_L_LC,Flat,25000000.0
